Country,Regiune,Nume Regiune,TIP,Judet,Niv,Nat Level,Nat Lev Name,Sirsup,Cnt Id,Cnt Name,Cnt Abbr,Rang,Siruta,Denloc,Nume Uat,Codp,FS2,FS3,FSJ,FSL,Fictiv,Area Sqm Uat,Perimeter M Uat,Latitude Uat,Longitude Uat,Pop 1Ian2020,Count of siruta_uat_pop.csv
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,23975,Palanca,Palanca,0,4,,4,4.52103E+11,,93268323.56,64273.30517,46.50340533,26.10279258,3335,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,24034,Parava,Parava,0,4,,4,4.5211E+11,,45577009.65,44105.13353,46.30944681,26.96361759,3357,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,24089,Parincea,Parincea,0,4,,4,4.52113E+11,,65531679.01,48644.83736,46.47129014,27.11865424,3733,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,24187,Pînceşti,Pânceşti,0,4,,4,4.52192E+11,,70802026.64,56246.98687,46.36634232,27.10796345,4317,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,24276,Pîrgareşti,Pârgăreşti,0,4,,4,4.52194E+11,,21412251.59,23258.31019,46.24398179,26.64661329,4724,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,24338,Pârjol,Pârjol,0,4,,4,4.52141E+11,,54010421.11,44553.97219,46.59252223,26.60824273,6222,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,24427,Plopana,Plopana,0,4,,4,4.52204E+11,,57545292.49,38514.15158,46.6701702,27.24155323,3239,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,24524,Podu Turcului,Podu Turcului,0,4,,4,4.52222E+11,,89789882.35,69694.19792,46.20020214,27.41051094,4913,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,24631,Poduri,Poduri,0,4,,4,4.52223E+11,,72931985.33,46981.49779,46.46192316,26.56656692,7997,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,24711,Racova,Racova,0,4,,4,4.52314E+11,,34252420.8,32171.78902,46.70484296,26.76248893,3568,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,24766,Racaciuni,Răcăciuni,0,4,,4,4.52332E+11,,82384927.12,59798.78647,46.35478678,26.94592424,8384,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,24837,Rachitoasa,Răchitoasa,0,4,,4,4.52334E+11,,117819569.3,73032.91777,46.45008788,27.36774294,4646,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,24999,Roşiori,Roşiori,0,4,,4,4.52416E+11,,46803410.2,36653.87651,46.7296342,27.09884785,2373,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,25068,Sascut,Sascut,0,4,,4,4.52461E+11,,108716642.6,61150.43909,46.19683939,27.08275873,9729,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,25148,Sanduleni,Sănduleni,0,4,,4,4.52493E+11,,43448879.99,45301.02758,46.45429055,26.74373319,4643,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,25228,Sauceşti,Săuceşti,0,4,,4,4.52506E+11,,53687098.3,52361.90471,46.65499101,26.93612252,5454,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,25291,Scorţeni,Scorţeni,0,4,,4,4.52538E+11,,44549726.76,47035.82463,46.57930737,26.67418487,3001,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,25362,Secuieni,Secuieni,0,4,,4,4.52552E+11,,48940285.91,46270.2698,46.64664328,27.09832011,2305,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,25488,Solonţ,Solonţ,0,4,,4,4.52631E+11,,52480781.91,36663.83806,46.56858498,26.52674413,3485,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,25521,Stanişeşti,Stănişeşti,0,4,,4,4.5265E+11,,81468560.71,69120.67054,46.44010253,27.31350552,4576,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,25629,Strugari,Strugari,0,4,,4,4.52677E+11,,59546145.79,48622.34748,46.53282592,26.74413483,2406,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,25692,Tamaşi,Tamaşi,0,4,,4,4.52787E+11,,46652512.41,36772.9263,46.48190291,27.00627041,3125,1
